大类,中类,小类,细分类,棚格图分类,棚格图名称,商品编码,名称,品牌,规格/容量/尺寸,规格,品种,包装,口味,售价,价格带,尺码,含糖量,成分特点,脂肪含量,是否有机,配方,片数范围,功效,适用人群/场景,进口/国产,肉种,酒精度数,香味,面条形状,加工工艺,颜色,订单数,销售,毛利,每订单门店数,每金额门店数,在售门店数,订单同比增长率,销售同比增长率,上市天数
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,101857441,徐福记550g新年饼点,徐福记,550g,300g/ml以上,休闲饼干,袋,原味,45.5,15元以上,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0175,2.384912698,-884.0509177,57.2831,0.41930256,7,-0.96667936,-0.923710441,2250
23,2301_饼干糕点,2311_饼干,23116_曲奇饼干,2316,曲奇,107038931,露怡708g曲奇饼干礼盒装,露怡,708g,200g/ml以上,曲奇饼干,盒,原味,105,25元以上,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0056,0.088888889,-143.8535272,178.5714,11.25,1,-0.39130435,-0.835225337,890
23,2301_饼干糕点,2311_饼干,23115_夹心饼干,2314,饼干,104196968,奥利奥巧轻脆薄片夹心95g清新草莓酸奶味,奥利奥,95g,0-149g/ml,夹心饼干,袋,草莓,6.9,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.3513,2.864141114,49.19747258,2.8462,0.349144808,227,-0.41283637,-0.206258387,1379
23,2301_饼干糕点,2312_糕饼,23128_麻花、烤馍,2336,糕点,109332906,曹臣242g原味烤馍片,曹臣,242g,150-299g/ml,麻花、烤馍,袋,原味,6.9,0-11.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.2909,2.090104287,72.6092223,3.4373,0.478445026,226,0.05,0.05,252
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,108124398,纤与仟层102g原味手工烧,纤与仟层,102g,100-299g/ml,休闲饼干,盒,原味,9.8,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0,0,0,0,0,0,0,0,616
23,2301_饼干糕点,2313_休闲糕饼,23132_休闲糕点,2336,糕点,106895287,B_CRIZPY30G杏仁草莓布朗尼迷你饼干,B-Crizpy,30g,0-99g/ml,休闲糕点,袋,草莓,9.9,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0071,0.128730159,-68.45227457,140,7.768187423,7,-0.80277778,-0.645242341,757
23,2301_饼干糕点,2311_饼干,23115_夹心饼干,2314,饼干,107507063,温文156g香草味奶油夹心饼干,温文,156g,150-199g/ml,夹心饼干,盒,奶油、奶酪,9.9,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0056,0.155555556,-50.133398,178.5714,6.428571429,1,-0.96534653,-0.867257535,644
23,2301_饼干糕点,2312_糕饼,23122_蛋糕蛋卷,2336,糕点,800194864,达利20g×12草莓味瑞士卷,达利,240g,150-299g/ml,蛋糕蛋卷,袋,草莓,10.5,0-11.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.2009,2.021407088,55.09365363,4.977,0.494704904,66,-0.0805492,-0.101725365,2841
23,2301_饼干糕点,2311_饼干,23116_曲奇饼干,2316,曲奇,800408690,丹麦蓝罐90g原味曲奇,丹麦蓝罐,90g,0-149g/ml,曲奇饼干,袋,原味,10.5,10-14.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0334,0.370369792,9.167608122,29.9219,2.700004219,64,-0.77263445,-0.770287912,730
23,2301_饼干糕点,2312_糕饼,23122_蛋糕蛋卷,2336,糕点,104617494,达利园240g奶绵蛋糕（6枚）,达利,240g,150-299g/ml,蛋糕蛋卷,袋,牛奶,11.5,0-11.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0177,0.188763096,-4.910950577,56.5075,5.297645683,124,-0.7172524,-0.708614706,1274
